ed,cuomo,molinaro,votes18,voters18,pct_dem_rvs18,pct_rep_rvs18
30049,419,79,545,941.0,66.2,9.1
30050,467,85,596,1093.0,66.1,10.0
30051,330,69,438,982.0,60.4,13.1
30052,327,56,414,1089.0,63.9,8.2
30053,211,64,293,656.0,61.9,11.4
30054,48,13,63,173.0,64.2,9.8
30055,270,81,374,931.0,59.0,15.0
30056,390,54,490,921.0,66.2,10.4
30057,301,23,337,906.0,76.9,4.7
30058,340,31,398,999.0,67.0,7.2
30059,372,26,406,988.0,73.9,5.2
30060,353,113,500,1038.0,59.9,12.6
30061,260,67,341,566.0,70.0,8.7
30062,262,50,341,717.0,60.5,10.2
30063,219,27,262,504.0,63.9,10.7
30064,249,34,318,657.0,65.6,8.4
30065,334,60,434,727.0,63.1,8.5
30066,381,56,480,936.0,63.6,8.5
30067,322,43,388,906.0,68.3,7.4
30068,451,40,525,1097.0,68.3,6.5
30069,390,71,493,996.0,61.7,11.9
30073,233,225,472,1108.0,44.0,26.4
30074,205,127,352,870.0,52.2,16.0
30075,148,61,217,632.0,56.8,14.2
30076,436,87,570,1080.0,63.8,10.4
30077,376,78,492,1039.0,61.0,12.9
30078,251,36,319,592.0,62.7,9.8
30079,344,32,400,918.0,66.0,6.2
30080,205,32,259,467.0,64.5,10.1
30081,256,82,354,724.0,65.5,12.6
30082,269,77,376,590.0,64.9,11.4
31001,196,42,243,637.0,66.4,10.2
31002,245,34,289,912.0,66.7,8.0
31003,268,55,333,1008.0,67.6,7.9
31004,269,32,320,1081.0,67.0,8.4
31005,283,31,319,997.0,67.7,9.4
31006,13,1,14,53.0,73.6,0.0
31007,269,35,320,982.0,69.3,8.7
31008,238,49,296,1023.0,63.5,10.8
31009,215,24,247,978.0,69.0,7.0
31010,319,36,367,1061.0,69.8,7.4
31011,376,18,403,1109.0,78.2,4.3
31012,304,40,352,1073.0,67.3,9.3
31013,317,28,346,1041.0,73.8,5.9
31014,294,12,314,957.0,78.0,4.6
31015,339,13,357,959.0,78.2,3.8
31016,306,9,319,939.0,75.8,4.2
31017,313,9,324,862.0,77.5,3.1
31018,376,11,396,1076.0,75.4,3.3
31019,378,16,403,1049.0,76.4,5.6
31020,137,37,177,459.0,62.1,15.3
31021,39,6,48,102.0,69.6,7.8
31022,282,40,335,1079.0,67.1,9.5
31023,258,68,341,948.0,64.0,10.7
31024,314,25,339,1039.0,72.7,5.9
31025,279,32,323,1014.0,71.1,6.4
31026,269,65,342,968.0,65.7,12.0
31027,218,91,322,856.0,61.2,15.4
31028,202,58,266,730.0,63.2,14.1
31029,447,14,471,935.0,83.0,3.9
31031,28,3,34,61.0,67.2,14.8
31032,399,9,426,1039.0,83.3,2.5
31033,169,3,174,373.0,84.5,2.7
31034,528,12,547,1115.0,82.8,3.4
31035,454,9,474,1051.0,80.7,3.4
31036,489,6,506,1052.0,82.6,2.7
31037,508,15,530,1114.0,81.4,3.0
31038,555,5,569,1035.0,86.3,1.3
31039,394,59,471,1002.0,72.4,7.9
31040,563,10,584,1042.0,84.7,2.9
31041,457,10,474,988.0,82.6,2.3
31042,373,4,388,788.0,83.1,2.3
31043,420,9,435,858.0,82.9,2.3
31044,305,10,324,701.0,79.5,2.7
31045,461,17,492,936.0,80.2,2.7
31046,426,15,450,943.0,80.4,3.6
